title	type	age_pop	age_parlement	sex_pop	sex_parlement	langue_parlement	langue_pop	color
0-19 ans	age_proportion	20.3	0	0	0	0	0	#ff7f0e
20-39 ans	age_proportion	26.7	11.7886	0	0	0	0	#2ca02c
40-64 ans	age_proportion	37.4	78.0488	0	0	0	0	#d62728
65 plus	age_proportion	15.6	10.1626	0	0	0	0	#9467bd
Hommes	sex_proportion	0	0	49.4	71.54	0	0	#1f77b4
Femmes	sex_proportion	0	0	50.6	28.46	0	0	#e377c2
Allemand	langue_proportion	0	0	0	0	76.83	64.9	#8c564b
Francais	langue_proportion	0	0	0	0	23.17	22.6	#7f7f7f
Italien	langue_proportion	0	0	0	0	0	8.3	#bcbd22
Romanche	langue_proportion	0	0	0	0	0	0.5	#17becf
Autres	langue_proportion	0	0	0	0	0	4.6	#9edae5
